BLER,MCS
0.090000, 9
0.090000, 9
0.081000, 9
0.072900, 9
0.081000, 9
0.072900, 9
0.065610, 9
0.065610, 9
0.059049, 9
0.053144, 9
0.047830, 9
0.043047, 9
0.038742, 9
0.034868, 9
0.031381, 9
0.059049, 9
0.028243, 9
0.025419, 9
0.022877, 9
0.020589, 9
0.018530, 9
0.016677, 9
0.015009, 9
0.013509, 9
0.012158, 9
0.010942, 9
0.053144, 9
0.009848, 9
0.047830, 9
0.008863, 9
0.007977, 12
0.007179, 9
0.006461, 9
0.005815, 9
0.005233, 9
0.004710, 9
0.004239, 9
0.043047, 9
0.003815, 9
0.003434, 9
0.003090, 9
0.002781, 9
0.002503, 9
0.002253, 9
0.002028, 9
0.001825, 9
0.001642, 9
0.001478, 9
0.038742, 9
0.001330, 9
0.001197, 9
0.001078, 9
0.000970, 9
0.000873, 9
0.000786, 9
0.000707, 9
0.000636, 9
0.000573, 9
0.000515, 9
0.034868, 9
0.000464, 9
0.000417, 9
0.000376, 9
0.000338, 9
0.000304, 9
0.000274, 9
0.000247, 9
0.000222, 9
0.000200, 9
0.000180, 9
0.031381, 9
0.000162, 9
0.000146, 9
0.000131, 9
0.028243, 9
0.000118, 9
0.000106, 9
0.000096, 9
0.000086, 9
0.000077, 9
0.000070, 9
0.000063, 9
0.025419, 9
0.000056, 9
0.000051, 9
0.000046, 9
0.000041, 9
0.000037, 9
0.000033, 9
0.000030, 9
0.000027, 9
0.022877, 9
0.000024, 9
0.020589, 9
0.018530, 12
0.000022, 12
0.016677, 15
0.000020, 15
0.000018, 18
0.101450, 18
0.054561, 21
0.180194, 18
0.164500, 15
0.130923, 21
0.148050, 12
0.196403, 21
0.133245, 12
0.204540, 18
0.119921, 12
0.184086, 15
0.107929, 12
0.165677, 12
0.097136, 12
0.149110, 9
0.087422, 12
0.134199, 9
0.078680, 12
0.120779, 9
0.070812, 12
0.108701, 9
0.063731, 12
0.097831, 9
0.057358, 12
0.088048, 9
0.051622, 12
0.079243, 9
0.046460, 12
0.071319, 9
0.041814, 15
0.064187, 9
0.128109, 18
0.057768, 9
0.213631, 18
0.051991, 9
0.194810, 15
0.046792, 9
0.175329, 12
0.042113, 12
0.157796, 9
0.037902, 15
0.142017, 6
0.039375, 18
0.127815, 6
0.135437, 21
0.115034, 6
0.221894, 21
0.103530, 6
0.221133, 18
0.093177, 6
0.199019, 15
0.083859, 6
0.179118, 12
0.075474, 6
0.166761, 9
0.067926, 6
0.150085, 6
0.061134, 6
0.139839, 6
0.055020, 6
0.125855, 6
0.049518, 6
0.113269, 6
0.044566, 9
0.101942, 6
0.040110, 12
0.091748, 6
0.036099, 15
0.082573, 6
0.121378, 18
0.074316, 6
0.196542, 18
0.066884, 6
0.181198, 15
0.060196, 6
0.163078, 12
0.054176, 6
0.146770, 9
0.048759, 6
0.132093, 9
0.043883, 9
0.118884, 9
0.039495, 12
0.106995, 9
0.035545, 15
0.096296, 9
0.037254, 18
0.086666, 9
0.133528, 21
0.078000, 9
0.220176, 21
0.070200, 9
0.210658, 18
0.063180, 9
0.189592, 15
0.056862, 9
0.170633, 12
0.051176, 9
0.153570, 9
0.046058, 9
0.138213, 6
0.041452, 12
0.124391, 6
0.037307, 15
0.111952, 6
0.122465, 18
0.107424, 6
0.205301, 18
0.110015, 6
0.188189, 15
0.099013, 6
0.169370, 12
0.089112, 6
0.152433, 9
0.080201, 6
0.137190, 6
0.099958, 6
0.123471, 6
0.094724, 6
0.111124, 6
0.090252, 6
0.100012, 6
0.086227, 6
0.090010, 6
0.077604, 6
0.081009, 6
0.069844, 6
0.072908, 6
0.067405, 6
0.065618, 6
0.060664, 6
0.059056, 6
0.054598, 6
0.053150, 6
0.049138, 6
0.047835, 6
0.044224, 9
0.043052, 9
0.039802, 12
0.038747, 12
0.035822, 15
0.034872, 15
0.048906, 18
0.121861, 18
0.119016, 21
0.204757, 18
0.167114, 21
0.186823, 15
0.156285, 18
0.168141, 12
0.140656, 15
0.151327, 9
0.126591, 15
0.136194, 6
0.113932, 15
0.122575, 6
0.102539, 15
0.110317, 6
0.092285, 15
0.099286, 6
0.083056, 15
0.089357, 6
0.074751, 15
0.080421, 6
0.067276, 15
0.072379, 6
0.060548, 15
0.065141, 6
0.054493, 15
0.058627, 6
0.049044, 15
0.052764, 6
0.077473, 18
0.047488, 6
0.075608, 18
0.042739, 9
0.079158, 18
0.038465, 12
0.082354, 18
0.034619, 15
0.080001, 18
0.121633, 18
0.099273, 18
0.199792, 18
0.103632, 18
0.183232, 15
0.104380, 18
0.164909, 12
0.106442, 18
0.148418, 9
0.106909, 18
0.133576, 9
0.113865, 18
0.120218, 9
0.126008, 18
0.108197, 9
0.118670, 18
0.097377, 9
0.112066, 18
0.087639, 9
0.122288, 18
0.078875, 9
0.116726, 18
0.105053, 18
0.094548, 15
0.085093, 12
0.076584, 9
0.068926, 9
0.070988, 9
0.062033, 9
0.055830, 9
0.050247, 9
0.045222, 9
0.040700, 9
0.036630, 9
0.032967, 9
0.029670, 9
0.026703, 9
0.024033, 9
0.063889, 9
0.021630, 9
0.019467, 9
0.017520, 9
0.015768, 9
0.014191, 9
0.012772, 9
0.011495, 9
0.010345, 9
0.009311, 9
0.008380, 9
0.057500, 9
0.007542, 9
0.006788, 9
0.006109, 9
0.005498, 9
0.004948, 9
0.004453, 9
0.004008, 9
0.003607, 9
0.003246, 9
0.002922, 9
0.051750, 9
0.002630, 9
0.002367, 9
0.002130, 9
0.001917, 9
0.046575, 9
0.001725, 9
0.041918, 9
0.001553, 12
0.037726, 12
0.001398, 15
0.033953, 15
0.020008, 18
0.122493, 18
0.076340, 21
0.195244, 18
0.123252, 21
0.181224, 15
0.195542, 21
0.163102, 12
0.189321, 18
0.146792, 9
0.170389, 15
0.132112, 9
0.153350, 12
0.118901, 9
0.138015, 9
0.107011, 9
0.124214, 9
0.096310, 9
0.111792, 9
0.086679, 9
0.100613, 9
0.078011, 9
0.090552, 9
0.070210, 9
0.081497, 9
0.063189, 9
0.073347, 9
0.056870, 9
0.066012, 9
0.051183, 9
0.059411, 9
0.046065, 9
0.053470, 9
0.041458, 12
0.048123, 9
0.037312, 15
0.043311, 12
0.121081, 18
0.038980, 15
0.207306, 18
0.035082, 18
0.189995, 15
0.106573, 21
0.170995, 12
0.195916, 21
0.153896, 9
0.202991, 18
0.138506, 6
0.182692, 15
0.124655, 6
0.164423, 12
0.112190, 6
0.147981, 9
0.100971, 6
0.133182, 9
0.090874, 6
0.125127, 9
0.081786, 6
0.112615, 9
0.073608, 6
0.101353, 9
0.066247, 6
0.091218, 9
0.059622, 6
0.087359, 9
0.053660, 6
0.078623, 9
0.048294, 6
0.070761, 9
0.043465, 9
0.063685, 9
0.039118, 12
0.057316, 9
0.035206, 15
0.051585, 9
0.123621, 18
0.046426, 9
0.204702, 18
0.041784, 12
0.186774, 15
0.037605, 15
0.168097, 12
0.048845, 18
0.151287, 9
0.108246, 21
0.136158, 6
0.182037, 21
0.122542, 6
0.163833, 18
0.110288, 6
0.147450, 15
0.099259, 6
0.132705, 15
0.089333, 6
0.119434, 15
0.080400, 6
0.107491, 15
0.072360, 6
0.096742, 15
0.065124, 6
0.087068, 15
0.058612, 6
0.078361, 15
0.052750, 6
0.070525, 15
0.047475, 6
0.063472, 15
0.042728, 9
0.057125, 15
0.038455, 12
