BLER,MCS
0.090000, 9
0.090000, 9
0.081000, 9
0.081000, 9
0.072900, 9
0.072900, 9
0.065610, 9
0.065610, 9
0.059049, 9
0.053144, 9
0.047830, 9
0.043047, 9
0.038742, 9
0.034868, 9
0.031381, 9
0.028243, 9
0.025419, 9
0.059049, 9
0.022877, 9
0.020589, 9
0.018530, 9
0.016677, 9
0.015009, 9
0.013509, 9
0.012158, 9
0.010942, 9
0.009848, 9
0.008863, 9
0.053144, 9
0.007977, 9
0.007179, 9
0.006461, 9
0.047830, 9
0.005815, 9
0.005233, 10
0.004710, 9
0.004239, 9
0.003815, 9
0.003434, 9
0.003090, 9
0.043047, 9
0.002781, 9
0.002503, 9
0.002253, 9
0.002028, 9
0.001825, 9
0.001642, 9
0.001478, 9
0.001330, 9
0.001197, 9
0.001078, 9
0.038742, 9
0.000970, 9
0.000873, 9
0.000786, 9
0.000707, 9
0.000636, 9
0.000573, 9
0.000515, 9
0.000464, 9
0.000417, 9
0.000376, 9
0.034868, 9
0.000338, 9
0.000304, 9
0.000274, 9
0.000247, 9
0.000222, 9
0.000200, 9
0.000180, 9
0.000162, 9
0.000146, 9
0.000131, 9
0.031381, 9
0.000118, 9
0.000106, 9
0.000096, 9
0.000086, 9
0.000077, 9
0.028243, 9
0.000070, 9
0.000063, 10
0.000056, 9
0.000051, 9
0.025419, 9
0.000046, 9
0.000041, 9
0.000037, 9
0.000033, 9
0.000030, 9
0.000027, 9
0.000024, 9
0.000022, 9
0.000020, 9
0.000018, 9
0.022877, 9
0.000016, 9
0.000014, 9
0.000013, 9
0.000012, 9
0.000010, 9
0.000009, 9
0.000008, 9
0.000008, 9
0.000007, 9
0.000006, 9
0.020589, 9
0.000006, 9
0.000005, 9
0.000004, 9
0.000004, 9
0.000004, 9
0.000003, 9
0.000003, 9
0.000003, 9
0.000002, 9
0.000002, 9
0.018530, 9
0.000002, 9
0.000002, 9
0.000002, 9
0.000001, 9
0.000001, 9
0.000001, 9
0.000001, 9
0.000001, 9
0.000001, 9
0.000001, 9
0.016677, 9
0.000001, 9
0.000001, 9
0.000001, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.015009, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.013509, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.012158, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.010942, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.009848, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.008863, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.007977, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.007179, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.006461, 9
0.000000, 9
0.005815, 9
0.005233, 10
0.000000, 10
0.004710, 11
0.000000, 11
0.004239, 12
0.000000, 12
0.003815, 13
0.000000, 13
0.003434, 14
0.000000, 14
0.003090, 15
0.000000, 15
0.002781, 16
0.000000, 16
0.002503, 17
0.000000, 17
0.002253, 18
0.010000, 18
0.002028, 19
0.078231, 19
0.001825, 20
0.163265, 19
0.001642, 21
0.161938, 18
0.001478, 22
0.145745, 17
0.001330, 23
0.135518, 17
0.002031, 24
0.131490, 17
0.012737, 25
0.123896, 17
0.100352, 26
0.111507, 17
0.182252, 26
0.100356, 17
0.177111, 25
0.090321, 17
0.161921, 24
0.081288, 17
0.146562, 23
0.079042, 17
0.133587, 23
0.075900, 17
0.120228, 23
0.068310, 17
0.109032, 23
0.066241, 17
0.098962, 23
0.065172, 17
0.089066, 23
0.058655, 17
0.081840, 23
0.052789, 17
0.074482, 23
0.052272, 17
0.067867, 23
0.047045, 17
0.061914, 23
0.042341, 18
0.055723, 23
0.123821, 19
0.050977, 23
0.199674, 19
0.045879, 23
0.189231, 18
0.042972, 24
0.170307, 17
0.050712, 25
0.153277, 16
0.060735, 25
0.137949, 15
0.075661, 25
0.124154, 15
0.087897, 25
0.111739, 15
0.090117, 25
0.100565, 15
0.095124, 25
0.090508, 15
0.099762, 25
0.081457, 15
0.102870, 25
0.073312, 15
0.101592, 25
0.065981, 15
0.102342, 25
0.059383, 15
0.106259, 25
0.053444, 15
0.107670, 25
0.048100, 15
0.105912, 25
0.043290, 16
0.108284, 25
0.043723, 17
0.111606, 25
0.048874, 18
0.116792, 25
0.099542, 19
0.114122, 25
0.149588, 19
0.116728, 25
0.192524, 19
0.119206, 25
0.201050, 18
0.116295, 25
0.185706, 17
0.118816, 25
0.167136, 16
0.123125, 25
0.150422, 15
0.129624, 25
0.135380, 14
0.128699, 25
0.121842, 14
0.131067, 25
0.109658, 14
0.126889, 25
0.098692, 14
0.125209, 25
0.088823, 14
0.123698, 25
0.079941, 14
0.121328, 25
0.071946, 14
0.122158, 25
0.064752, 14
0.126288, 25
0.058277, 14
0.130006, 25
0.052449, 14
0.129042, 25
0.047204, 14
0.125066, 25
0.042484, 15
0.126711, 25
0.038235, 16
0.126077, 25
0.043503, 17
0.133271, 25
0.044708, 18
0.130853, 25
0.104943, 19
0.130852, 25
0.144449, 19
0.137569, 25
0.205004, 19
0.131848, 25
0.196268, 18
0.132681, 25
0.185732, 17
0.132497, 25
0.167159, 16
0.131285, 25
0.150443, 15
0.128156, 25
0.135399, 14
0.125251, 25
0.121859, 14
0.127964, 25
0.109673, 14
0.121308, 25
0.098706, 14
0.125523, 25
0.088835, 14
0.129161, 25
0.079952, 14
0.129329, 25
0.071956, 14
0.132742, 25
0.064761, 14
0.130477, 25
0.058285, 14
0.141919, 25
0.052456, 14
0.139764, 25
0.047211, 14
0.136797, 25
0.042490, 15
0.130197, 25
0.134485, 25
0.038241, 16
0.142249, 25
0.046181, 17
0.144370, 25
0.047813, 18
0.144084, 25
0.101855, 19
0.146983, 25
0.154170, 19
0.146436, 25
0.168753, 18
0.142801, 25
0.156878, 17
0.146168, 25
0.141190, 16
0.140480, 25
0.127071, 16
0.137441, 25
0.114364, 16
0.141173, 25
0.102927, 16
0.142294, 25
0.092635, 16
0.142215, 25
0.083371, 16
0.137003, 25
0.075034, 16
0.138541, 25
0.072794, 16
0.141033, 25
0.072657, 16
0.139892, 25
0.065392, 16
0.140054, 25
0.063852, 16
0.142395, 25
0.057467, 16
0.143393, 25
0.051720, 16
0.147501, 25
0.046548, 16
0.147989, 25
0.041894, 17
0.148428, 25
0.047704, 18
0.152213, 25
0.102934, 19
0.139512, 24
0.170418, 19
0.127242, 24
0.170043, 18
0.117936, 24
0.153039, 17
0.108685, 24
0.137735, 16
0.098643, 24
0.123961, 16
0.089612, 24
0.111565, 16
0.084070, 24
0.100409, 16
