------------------------------------------------------------
Server listening on TCP port 5001
TCP window size:  128 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.5 port 5001 connected with 192.168.70.135 port 36242
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-1.0000 sec  1.09 MBytes  9.15 Mbits/sec
[  1] 1.0000-2.0000 sec  1.49 MBytes  12.5 Mbits/sec
[  1] 2.0000-3.0000 sec  1.49 MBytes  12.5 Mbits/sec
[  1] 3.0000-4.0000 sec  1.58 MBytes  13.3 Mbits/sec
[  1] 4.0000-5.0000 sec  1.47 MBytes  12.4 Mbits/sec
[  1] 5.0000-6.0000 sec   796 KBytes  6.52 Mbits/sec
[  1] 6.0000-7.0000 sec   792 KBytes  6.49 Mbits/sec
[  1] 7.0000-8.0000 sec  1.37 MBytes  11.5 Mbits/sec
[  1] 8.0000-9.0000 sec  1.48 MBytes  12.4 Mbits/sec
[  1] 9.0000-10.0000 sec  1.15 MBytes  9.68 Mbits/sec
[  1] 10.0000-11.0000 sec  1.01 MBytes  8.44 Mbits/sec
[  1] 11.0000-12.0000 sec  1.45 MBytes  12.2 Mbits/sec
[  1] 12.0000-13.0000 sec  1.38 MBytes  11.5 Mbits/sec
[  1] 13.0000-14.0000 sec   738 KBytes  6.05 Mbits/sec
[  1] 14.0000-15.0000 sec   793 KBytes  6.50 Mbits/sec
[  1] 15.0000-16.0000 sec  1.46 MBytes  12.3 Mbits/sec
[  1] 16.0000-17.0000 sec  1.33 MBytes  11.2 Mbits/sec
[  1] 17.0000-18.0000 sec   795 KBytes  6.51 Mbits/sec
[  1] 18.0000-19.0000 sec   813 KBytes  6.66 Mbits/sec
[  1] 19.0000-20.0000 sec  1.44 MBytes  12.1 Mbits/sec
[  1] 20.0000-21.0000 sec  1.48 MBytes  12.4 Mbits/sec
[  1] 21.0000-21.8675 sec  1.01 MBytes  9.73 Mbits/sec
[  1] 0.0000-21.8675 sec  26.3 MBytes  10.1 Mbits/sec
[  2] local 10.0.0.5 port 5001 connected with 192.168.70.135 port 36432
[ ID] Interval       Transfer     Bandwidth
[  2] 0.0000-1.0000 sec  1.34 MBytes  11.2 Mbits/sec
[  2] 1.0000-2.0000 sec  1.39 MBytes  11.6 Mbits/sec
[  2] 2.0000-3.0000 sec  1.10 MBytes  9.20 Mbits/sec
[  2] 3.0000-4.0000 sec  1.19 MBytes  10.0 Mbits/sec
[  2] 4.0000-5.0000 sec  1.69 MBytes  14.1 Mbits/sec
[  2] 5.0000-6.0000 sec   981 KBytes  8.04 Mbits/sec
[  2] 6.0000-7.0000 sec   793 KBytes  6.50 Mbits/sec
[  2] 7.0000-8.0000 sec   993 KBytes  8.13 Mbits/sec
[  2] 8.0000-9.0000 sec  1.18 MBytes  9.88 Mbits/sec
[  2] 9.0000-10.0000 sec  1.18 MBytes  9.92 Mbits/sec
[  2] 10.0000-11.0000 sec   793 KBytes  6.50 Mbits/sec
[  2] 11.0000-12.0000 sec   834 KBytes  6.83 Mbits/sec
[  2] 12.0000-13.0000 sec  1.62 MBytes  13.6 Mbits/sec
[  2] 13.0000-14.0000 sec  1.12 MBytes  9.42 Mbits/sec
[  2] 14.0000-15.0000 sec   795 KBytes  6.51 Mbits/sec
[  2] 15.0000-16.0000 sec   897 KBytes  7.34 Mbits/sec
[  2] 16.0000-17.0000 sec  1.70 MBytes  14.3 Mbits/sec
[  2] 17.0000-18.0000 sec  1.01 MBytes  8.43 Mbits/sec
[  2] 18.0000-19.0000 sec   796 KBytes  6.52 Mbits/sec
[  2] 19.0000-20.0000 sec   963 KBytes  7.89 Mbits/sec
[  2] 20.0000-21.0000 sec  1.68 MBytes  14.1 Mbits/sec
[  2] 21.0000-22.0000 sec   937 KBytes  7.68 Mbits/sec
[  2] 0.0000-22.2460 sec  25.0 MBytes  9.41 Mbits/sec
[  3] local 10.0.0.5 port 5001 connected with 192.168.70.135 port 48190
[ ID] Interval       Transfer     Bandwidth
[  3] 0.0000-1.0000 sec  1.18 MBytes  9.90 Mbits/sec
[  3] 1.0000-2.0000 sec  1.41 MBytes  11.9 Mbits/sec
[  3] 2.0000-3.0000 sec   764 KBytes  6.26 Mbits/sec
[  3] 3.0000-4.0000 sec   793 KBytes  6.50 Mbits/sec
[  3] 4.0000-5.0000 sec  1.28 MBytes  10.7 Mbits/sec
[  3] 5.0000-6.0000 sec  1.40 MBytes  11.7 Mbits/sec
[  3] 6.0000-7.0000 sec   833 KBytes  6.82 Mbits/sec
[  3] 7.0000-8.0000 sec   744 KBytes  6.09 Mbits/sec
[  3] 8.0000-9.0000 sec  1.22 MBytes  10.2 Mbits/sec
[  3] 9.0000-10.0000 sec  1.50 MBytes  12.5 Mbits/sec
[  3] 10.0000-11.0000 sec   843 KBytes  6.90 Mbits/sec
[  3] 11.0000-12.0000 sec   796 KBytes  6.52 Mbits/sec
[  3] 12.0000-13.0000 sec  1.28 MBytes  10.7 Mbits/sec
[  3] 13.0000-14.0000 sec  1.52 MBytes  12.8 Mbits/sec
[  3] 14.0000-15.0000 sec   785 KBytes  6.43 Mbits/sec
[  3] 15.0000-16.0000 sec   758 KBytes  6.21 Mbits/sec
[  3] 16.0000-17.0000 sec  1.27 MBytes  10.7 Mbits/sec
[  3] 17.0000-18.0000 sec  1.53 MBytes  12.8 Mbits/sec
[  3] 18.0000-19.0000 sec   745 KBytes  6.10 Mbits/sec
[  3] 19.0000-20.0000 sec   740 KBytes  6.06 Mbits/sec
[  3] 20.0000-21.0000 sec  1.21 MBytes  10.2 Mbits/sec
[  3] 21.0000-21.9587 sec  1.48 MBytes  13.0 Mbits/sec
[  3] 0.0000-21.9587 sec  23.9 MBytes  9.13 Mbits/sec
[  4] local 10.0.0.5 port 5001 connected with 192.168.70.135 port 56256
[ ID] Interval       Transfer     Bandwidth
[  4] 0.0000-1.0000 sec   689 KBytes  5.64 Mbits/sec
[  4] 1.0000-2.0000 sec   807 KBytes  6.61 Mbits/sec
[  4] 2.0000-3.0000 sec  1.18 MBytes  9.89 Mbits/sec
[  4] 3.0000-4.0000 sec  1.43 MBytes  12.0 Mbits/sec
[  4] 4.0000-5.0000 sec   796 KBytes  6.52 Mbits/sec
[  4] 5.0000-6.0000 sec   805 KBytes  6.59 Mbits/sec
[  4] 6.0000-7.0000 sec  1.35 MBytes  11.3 Mbits/sec
